image_path,pred,true_label,predicted_label,correct
REAL\0006 (2).jpg,0.0002,0,0,True
REAL\0006 (3).jpg,0.0003,0,0,True
REAL\0006 (4).jpg,0.2853,0,0,True
REAL\0006 (5).jpg,0.0052,0,0,True
REAL\0006 (6).jpg,0.0047,0,0,True
REAL\0006 (7).jpg,0.0018,0,0,True
REAL\0006 (8).jpg,0.005,0,0,True
REAL\0006 (9).jpg,0.0553,0,0,True
REAL\0006.jpg,0.3749,0,0,True
REAL\0007 (10).jpg,0.0026,0,0,True
REAL\0007 (2).jpg,0.0001,0,0,True
REAL\0007 (3).jpg,0.0396,0,0,True
REAL\0007 (4).jpg,0.0019,0,0,True
REAL\0007 (5).jpg,0.0002,0,0,True
REAL\0007 (6).jpg,0.0006,0,0,True
REAL\0007 (7).jpg,0.0005,0,0,True
REAL\0007 (8).jpg,0.0,0,0,True
REAL\0007 (9).jpg,0.0094,0,0,True
REAL\0007.jpg,0.5434,0,1,False
REAL\0008 (10).jpg,0.0038,0,0,True
REAL\0008 (2).jpg,0.0003,0,0,True
REAL\0008 (3).jpg,0.4158,0,0,True
REAL\0008 (4).jpg,0.0008,0,0,True
REAL\0008 (5).jpg,0.0011,0,0,True
REAL\0008 (6).jpg,0.0002,0,0,True
REAL\0008 (7).jpg,0.0012,0,0,True
REAL\0008 (8).jpg,0.0018,0,0,True
REAL\0008 (9).jpg,0.0102,0,0,True
REAL\0008.jpg,0.0077,0,0,True
REAL\0009 (10).jpg,0.1993,0,0,True
REAL\0009 (2).jpg,0.0001,0,0,True
REAL\0009 (3).jpg,0.001,0,0,True
REAL\0009 (4).jpg,0.0039,0,0,True
REAL\0009 (5).jpg,0.0008,0,0,True
REAL\0009 (6).jpg,0.0024,0,0,True
REAL\0009 (7).jpg,0.0001,0,0,True
REAL\0009 (8).jpg,0.0224,0,0,True
REAL\0009 (9).jpg,0.0002,0,0,True
REAL\0009.jpg,0.0,0,0,True
REAL\0010 (10).jpg,0.0002,0,0,True
REAL\0010 (2).jpg,0.0001,0,0,True
REAL\0010 (3).jpg,0.0005,0,0,True
REAL\0010 (4).jpg,0.0007,0,0,True
REAL\0010 (5).jpg,0.0006,0,0,True
REAL\0010 (6).jpg,0.0002,0,0,True
REAL\0010 (7).jpg,0.0433,0,0,True
REAL\0010 (8).jpg,0.0038,0,0,True
REAL\0010 (9).jpg,0.0002,0,0,True
REAL\0010.jpg,0.005,0,0,True
REAL\0011 (10).jpg,0.0028,0,0,True
REAL\0011 (2).jpg,0.0,0,0,True
REAL\0011 (3).jpg,0.0032,0,0,True
REAL\0011 (4).jpg,0.0081,0,0,True
REAL\0011 (5).jpg,0.0093,0,0,True
REAL\0011 (6).jpg,0.0093,0,0,True
REAL\0011 (7).jpg,0.0024,0,0,True
REAL\0011 (8).jpg,0.59,0,1,False
REAL\0011 (9).jpg,0.0014,0,0,True
REAL\0011.jpg,0.0597,0,0,True
REAL\0012 (10).jpg,0.0003,0,0,True
REAL\0012 (2).jpg,0.0002,0,0,True
REAL\0012 (3).jpg,0.0014,0,0,True
REAL\0012 (4).jpg,0.0009,0,0,True
REAL\0012 (5).jpg,0.0007,0,0,True
REAL\0012 (6).jpg,0.0023,0,0,True
REAL\0012 (7).jpg,0.001,0,0,True
REAL\0012 (8).jpg,0.007,0,0,True
REAL\0012 (9).jpg,0.001,0,0,True
REAL\0012.jpg,0.0668,0,0,True
REAL\0013 (10).jpg,0.9493,0,1,False
REAL\0013 (2).jpg,0.0005,0,0,True
REAL\0013 (3).jpg,0.0049,0,0,True
REAL\0013 (4).jpg,0.0686,0,0,True
REAL\0013 (5).jpg,0.0278,0,0,True
REAL\0013 (6).jpg,0.0007,0,0,True
REAL\0013 (7).jpg,0.0015,0,0,True
REAL\0013 (8).jpg,0.004,0,0,True
REAL\0013 (9).jpg,0.0002,0,0,True
REAL\0013.jpg,0.0027,0,0,True
REAL\0014 (10).jpg,0.0016,0,0,True
REAL\0014 (2).jpg,0.0003,0,0,True
REAL\0014 (3).jpg,0.001,0,0,True
REAL\0014 (4).jpg,0.0059,0,0,True
REAL\0014 (5).jpg,0.0001,0,0,True
REAL\0014 (6).jpg,0.0002,0,0,True
REAL\0014 (7).jpg,0.0002,0,0,True
REAL\0014 (8).jpg,0.0003,0,0,True
REAL\0014 (9).jpg,0.0043,0,0,True
REAL\0014.jpg,0.0006,0,0,True
REAL\0015 (10).jpg,0.0027,0,0,True
REAL\0015 (2).jpg,0.0001,0,0,True
REAL\0015 (3).jpg,0.0036,0,0,True
REAL\0015 (4).jpg,0.0002,0,0,True
REAL\0015 (5).jpg,0.0101,0,0,True
REAL\0015 (6).jpg,0.0078,0,0,True
REAL\0015 (7).jpg,0.0029,0,0,True
REAL\0015 (8).jpg,0.0002,0,0,True
REAL\0015 (9).jpg,0.0003,0,0,True
REAL\0015.jpg,0.0242,0,0,True
REAL\0016 (10).jpg,0.0003,0,0,True
REAL\0016 (2).jpg,0.0,0,0,True
REAL\0016 (3).jpg,0.0004,0,0,True
REAL\0016 (4).jpg,0.0006,0,0,True
REAL\0016 (5).jpg,0.0005,0,0,True
REAL\0016 (6).jpg,0.0002,0,0,True
REAL\0016 (7).jpg,0.0606,0,0,True
REAL\0016 (8).jpg,0.0048,0,0,True
REAL\0016 (9).jpg,0.742,0,1,False
REAL\0016.jpg,0.0001,0,0,True
REAL\0017 (10).jpg,0.9312,0,1,False
REAL\0017 (2).jpg,0.0109,0,0,True
REAL\0017 (3).jpg,0.9352,0,1,False
REAL\0017 (4).jpg,0.007,0,0,True
REAL\0017 (5).jpg,0.003,0,0,True
REAL\0017 (6).jpg,0.0009,0,0,True
REAL\0017 (7).jpg,0.0063,0,0,True
REAL\0017 (8).jpg,0.026,0,0,True
REAL\0017 (9).jpg,0.0022,0,0,True
REAL\0017.jpg,0.0002,0,0,True
REAL\0018 (10).jpg,0.0033,0,0,True
REAL\0018 (2).jpg,0.0001,0,0,True
REAL\0018 (3).jpg,0.0361,0,0,True
REAL\0018 (4).jpg,0.7408,0,1,False
REAL\0018 (5).jpg,0.0006,0,0,True
REAL\0018 (6).jpg,0.0008,0,0,True
REAL\0018 (7).jpg,0.2917,0,0,True
REAL\0018 (8).jpg,0.005,0,0,True
REAL\0018 (9).jpg,0.0013,0,0,True
REAL\0018.jpg,0.0097,0,0,True
REAL\0019 (10).jpg,0.0012,0,0,True
REAL\0019 (2).jpg,0.0016,0,0,True
REAL\0019 (3).jpg,0.5424,0,1,False
REAL\0019 (4).jpg,0.0001,0,0,True
REAL\0019 (5).jpg,0.0006,0,0,True
REAL\0019 (6).jpg,0.0009,0,0,True
REAL\0019 (7).jpg,0.0001,0,0,True
REAL\0019 (8).jpg,0.0219,0,0,True
REAL\0019 (9).jpg,0.6579,0,1,False
REAL\0019.jpg,0.6039,0,1,False
REAL\0020 (10).jpg,0.0004,0,0,True
REAL\0020 (2).jpg,0.0002,0,0,True
REAL\0020 (3).jpg,0.0171,0,0,True
REAL\0020 (4).jpg,0.0142,0,0,True
REAL\0020 (5).jpg,0.001,0,0,True
REAL\0020 (6).jpg,0.0006,0,0,True
REAL\0020 (7).jpg,0.0001,0,0,True
REAL\0020 (8).jpg,0.012,0,0,True
REAL\0020 (9).jpg,0.5001,0,1,False
REAL\0020.jpg,0.001,0,0,True
REAL\0021 (10).jpg,0.0009,0,0,True
REAL\0021 (2).jpg,0.0001,0,0,True
REAL\0021 (3).jpg,0.0013,0,0,True
REAL\0021 (4).jpg,0.027,0,0,True
REAL\0021 (5).jpg,0.0002,0,0,True
REAL\0021 (6).jpg,0.0121,0,0,True
REAL\0021 (7).jpg,0.0005,0,0,True
REAL\0021 (8).jpg,0.0014,0,0,True
REAL\0021 (9).jpg,0.0991,0,0,True
REAL\0021.jpg,0.0,0,0,True
REAL\0022 (10).jpg,0.0996,0,0,True
REAL\0022 (2).jpg,0.0007,0,0,True
REAL\0022 (3).jpg,0.0023,0,0,True
REAL\0022 (4).jpg,0.3772,0,0,True
REAL\0022 (5).jpg,0.0002,0,0,True
REAL\0022 (6).jpg,0.0091,0,0,True
REAL\0022 (7).jpg,0.0025,0,0,True
REAL\0022 (8).jpg,0.0002,0,0,True
REAL\0022 (9).jpg,0.824,0,1,False
REAL\0022.jpg,0.6122,0,1,False
REAL\0023 (10).jpg,0.0006,0,0,True
REAL\0023 (2).jpg,0.0,0,0,True
REAL\0023 (3).jpg,0.1412,0,0,True
REAL\0023 (4).jpg,0.002,0,0,True
REAL\0023 (5).jpg,0.0,0,0,True
REAL\0023 (6).jpg,0.0001,0,0,True
REAL\0023 (7).jpg,0.0204,0,0,True
REAL\0023 (8).jpg,0.0001,0,0,True
REAL\0023 (9).jpg,0.0006,0,0,True
REAL\0023.jpg,0.0019,0,0,True
REAL\0024 (10).jpg,0.0058,0,0,True
REAL\0024 (2).jpg,0.0001,0,0,True
REAL\0024 (3).jpg,0.0018,0,0,True
REAL\0024 (4).jpg,0.0005,0,0,True
REAL\0024 (5).jpg,0.0225,0,0,True
REAL\0024 (6).jpg,0.0003,0,0,True
REAL\0024 (7).jpg,0.0001,0,0,True
REAL\0024 (8).jpg,0.0145,0,0,True
REAL\0024 (9).jpg,0.0039,0,0,True
REAL\0024.jpg,0.0017,0,0,True
REAL\0025 (10).jpg,0.145,0,0,True
REAL\0025 (2).jpg,0.0001,0,0,True
REAL\0025 (3).jpg,0.0003,0,0,True
REAL\0025 (4).jpg,0.0087,0,0,True
REAL\0025 (5).jpg,0.0059,0,0,True
REAL\0025 (6).jpg,0.0002,0,0,True
REAL\0025 (7).jpg,0.0429,0,0,True
REAL\0025 (8).jpg,0.0,0,0,True
REAL\0025 (9).jpg,0.0003,0,0,True
REAL\0025.jpg,0.001,0,0,True
REAL\0026 (10).jpg,0.0009,0,0,True
REAL\0026 (2).jpg,0.0,0,0,True
REAL\0026 (3).jpg,0.3667,0,0,True
REAL\0026 (4).jpg,0.0026,0,0,True
REAL\0026 (5).jpg,0.0002,0,0,True
REAL\0026 (6).jpg,0.1446,0,0,True
REAL\0026 (7).jpg,0.0029,0,0,True
REAL\0026 (8).jpg,0.7002,0,1,False
REAL\0026 (9).jpg,0.0005,0,0,True
REAL\0026.jpg,0.0285,0,0,True
REAL\0027 (10).jpg,0.0021,0,0,True
REAL\0027 (2).jpg,0.0001,0,0,True
REAL\0027 (3).jpg,0.0015,0,0,True
REAL\0027 (4).jpg,0.0127,0,0,True
REAL\0027 (5).jpg,0.0004,0,0,True
REAL\0027 (6).jpg,0.0064,0,0,True
REAL\0027 (7).jpg,0.8286,0,1,False
REAL\0027 (8).jpg,0.0002,0,0,True
REAL\0027 (9).jpg,0.0001,0,0,True
REAL\0027.jpg,0.0006,0,0,True
REAL\0028 (10).jpg,0.0007,0,0,True
REAL\0028 (2).jpg,0.0001,0,0,True
REAL\0028 (3).jpg,0.0018,0,0,True
REAL\0028 (4).jpg,0.0045,0,0,True
REAL\0028 (5).jpg,0.0005,0,0,True
REAL\0028 (6).jpg,0.0006,0,0,True
REAL\0028 (7).jpg,0.0007,0,0,True
REAL\0028 (8).jpg,0.0001,0,0,True
REAL\0028 (9).jpg,0.3655,0,0,True
REAL\0028.jpg,0.0419,0,0,True
REAL\0029 (10).jpg,0.0419,0,0,True
REAL\0029 (2).jpg,0.0003,0,0,True
REAL\0029 (3).jpg,0.0149,0,0,True
REAL\0029 (4).jpg,0.0018,0,0,True
REAL\0029 (5).jpg,0.0273,0,0,True
REAL\0029 (6).jpg,0.0171,0,0,True
REAL\0029 (7).jpg,0.002,0,0,True
REAL\0029 (8).jpg,0.0017,0,0,True
REAL\0029 (9).jpg,0.051,0,0,True
REAL\0029.jpg,0.0001,0,0,True
REAL\0030 (10).jpg,0.07,0,0,True
REAL\0030 (2).jpg,0.0012,0,0,True
REAL\0030 (3).jpg,0.0036,0,0,True
REAL\0030 (4).jpg,0.0076,0,0,True
REAL\0030 (5).jpg,0.0011,0,0,True
REAL\0030 (6).jpg,0.0033,0,0,True
REAL\0030 (7).jpg,0.0002,0,0,True
REAL\0030 (8).jpg,0.0005,0,0,True
REAL\0030 (9).jpg,0.0,0,0,True
REAL\0030.jpg,0.003,0,0,True
REAL\0031 (10).jpg,0.1264,0,0,True
REAL\0031 (2).jpg,0.0,0,0,True
REAL\0031 (3).jpg,0.013,0,0,True
REAL\0031 (4).jpg,0.016,0,0,True
REAL\0031 (5).jpg,0.0019,0,0,True
REAL\0031 (6).jpg,0.0546,0,0,True
REAL\0031 (7).jpg,0.0002,0,0,True
REAL\0031 (8).jpg,0.003,0,0,True
REAL\0031 (9).jpg,0.0004,0,0,True
REAL\0031.jpg,0.0567,0,0,True
REAL\0032 (10).jpg,0.6073,0,1,False
REAL\0032 (2).jpg,0.0003,0,0,True
REAL\0032 (3).jpg,0.0073,0,0,True
REAL\0032 (4).jpg,0.0004,0,0,True
REAL\0032 (5).jpg,0.0002,0,0,True
REAL\0032 (6).jpg,0.0002,0,0,True
REAL\0032 (7).jpg,0.0015,0,0,True
REAL\0032 (8).jpg,0.0002,0,0,True
REAL\0032 (9).jpg,0.0021,0,0,True
REAL\0032.jpg,0.0195,0,0,True
REAL\0033 (10).jpg,0.0008,0,0,True
REAL\0033 (2).jpg,0.0021,0,0,True
REAL\0033 (3).jpg,0.0003,0,0,True
REAL\0033 (4).jpg,0.0039,0,0,True
REAL\0033 (5).jpg,0.0005,0,0,True
REAL\0033 (6).jpg,0.4815,0,0,True
REAL\0033 (7).jpg,0.0005,0,0,True
REAL\0033 (8).jpg,0.0698,0,0,True
REAL\0033 (9).jpg,0.0019,0,0,True
REAL\0033.jpg,0.0038,0,0,True
REAL\0034 (10).jpg,0.0003,0,0,True
REAL\0034 (2).jpg,0.002,0,0,True
REAL\0034 (3).jpg,0.007,0,0,True
REAL\0034 (4).jpg,0.0142,0,0,True
REAL\0034 (5).jpg,0.0597,0,0,True
REAL\0034 (6).jpg,0.0004,0,0,True
REAL\0034 (7).jpg,0.0138,0,0,True
REAL\0034 (8).jpg,0.004,0,0,True
REAL\0034 (9).jpg,0.0007,0,0,True
REAL\0034.jpg,0.0328,0,0,True
REAL\0035 (10).jpg,0.0,0,0,True
REAL\0035 (2).jpg,0.0001,0,0,True
REAL\0035 (3).jpg,0.0108,0,0,True
REAL\0035 (4).jpg,0.0014,0,0,True
REAL\0035 (5).jpg,0.0013,0,0,True
REAL\0035 (6).jpg,0.0017,0,0,True
REAL\0035 (7).jpg,0.0004,0,0,True
REAL\0035 (8).jpg,0.0004,0,0,True
REAL\0035 (9).jpg,0.3454,0,0,True
REAL\0035.jpg,0.0013,0,0,True
REAL\0036 (10).jpg,0.0011,0,0,True
REAL\0036 (2).jpg,0.0004,0,0,True
REAL\0036 (3).jpg,0.0627,0,0,True
REAL\0036 (4).jpg,0.0006,0,0,True
REAL\0036 (5).jpg,0.0062,0,0,True
REAL\0036 (6).jpg,0.0008,0,0,True
REAL\0036 (7).jpg,0.0002,0,0,True
REAL\0036 (8).jpg,0.0001,0,0,True
REAL\0036 (9).jpg,0.0312,0,0,True
REAL\0036.jpg,0.0004,0,0,True
REAL\0037 (10).jpg,0.0138,0,0,True
REAL\0037 (2).jpg,0.0,0,0,True
REAL\0037 (3).jpg,0.0025,0,0,True
REAL\0037 (4).jpg,0.0006,0,0,True
REAL\0037 (5).jpg,0.0001,0,0,True
REAL\0037 (6).jpg,0.0003,0,0,True
REAL\0037 (7).jpg,0.1858,0,0,True
REAL\0037 (8).jpg,0.0026,0,0,True
REAL\0037 (9).jpg,0.0001,0,0,True
REAL\0037.jpg,0.0001,0,0,True
REAL\0038 (10).jpg,0.0058,0,0,True
REAL\0038 (2).jpg,0.001,0,0,True
REAL\0038 (3).jpg,0.0012,0,0,True
REAL\0038 (4).jpg,0.1091,0,0,True
REAL\0038 (5).jpg,0.0004,0,0,True
REAL\0038 (6).jpg,0.0071,0,0,True
REAL\0038 (7).jpg,0.0006,0,0,True
REAL\0038 (8).jpg,0.0342,0,0,True
REAL\0038 (9).jpg,0.0204,0,0,True
REAL\0038.jpg,0.0054,0,0,True
REAL\0039 (10).jpg,0.9926,0,1,False
REAL\0039 (2).jpg,0.0004,0,0,True
REAL\0039 (3).jpg,0.4496,0,0,True
REAL\0039 (4).jpg,0.0005,0,0,True
REAL\0039 (5).jpg,0.0073,0,0,True
REAL\0039 (6).jpg,0.0011,0,0,True
REAL\0039 (7).jpg,0.0002,0,0,True
REAL\0039 (8).jpg,0.0006,0,0,True
REAL\0039 (9).jpg,0.0387,0,0,True
REAL\0039.jpg,0.0015,0,0,True
REAL\0040 (10).jpg,0.0038,0,0,True
REAL\0040 (2).jpg,0.0001,0,0,True
REAL\0040 (3).jpg,0.001,0,0,True
REAL\0040 (4).jpg,0.0033,0,0,True
REAL\0040 (5).jpg,0.0007,0,0,True
REAL\0040 (6).jpg,0.0006,0,0,True
REAL\0040 (7).jpg,0.0004,0,0,True
REAL\0040 (8).jpg,0.0014,0,0,True
REAL\0040 (9).jpg,0.0201,0,0,True
REAL\0040.jpg,0.0025,0,0,True
REAL\0041 (10).jpg,0.0002,0,0,True
REAL\0041 (2).jpg,0.0001,0,0,True
REAL\0041 (3).jpg,0.0018,0,0,True
REAL\0041 (4).jpg,0.0109,0,0,True
REAL\0041 (5).jpg,0.0003,0,0,True
REAL\0041 (6).jpg,0.0155,0,0,True
REAL\0041 (7).jpg,0.0009,0,0,True
REAL\0041 (8).jpg,0.0026,0,0,True
REAL\0041 (9).jpg,0.0007,0,0,True
REAL\0041.jpg,0.0002,0,0,True
REAL\0042 (10).jpg,0.0001,0,0,True
REAL\0042 (2).jpg,0.0002,0,0,True
REAL\0042 (3).jpg,0.0148,0,0,True
REAL\0042 (4).jpg,0.0046,0,0,True
REAL\0042 (5).jpg,0.0002,0,0,True
REAL\0042 (6).jpg,0.002,0,0,True
REAL\0042 (7).jpg,0.0004,0,0,True
REAL\0042 (8).jpg,0.0552,0,0,True
REAL\0042 (9).jpg,0.0021,0,0,True
REAL\0042.jpg,0.0039,0,0,True
REAL\0043 (10).jpg,0.0026,0,0,True
REAL\0043 (2).jpg,0.0004,0,0,True
REAL\0043 (3).jpg,0.473,0,0,True
REAL\0043 (4).jpg,0.0022,0,0,True
REAL\0043 (5).jpg,0.0004,0,0,True
REAL\0043 (6).jpg,0.0009,0,0,True
REAL\0043 (7).jpg,0.0002,0,0,True
REAL\0043 (8).jpg,0.001,0,0,True
REAL\0043 (9).jpg,0.0002,0,0,True
REAL\0043.jpg,0.0001,0,0,True
REAL\0044 (10).jpg,0.0001,0,0,True
REAL\0044 (2).jpg,0.0001,0,0,True
REAL\0044 (3).jpg,0.0002,0,0,True
REAL\0044 (4).jpg,0.0002,0,0,True
REAL\0044 (5).jpg,0.0007,0,0,True
REAL\0044 (6).jpg,0.0102,0,0,True
REAL\0044 (7).jpg,0.001,0,0,True
REAL\0044 (8).jpg,0.0159,0,0,True
REAL\0044 (9).jpg,0.0103,0,0,True
REAL\0044.jpg,0.3959,0,0,True
REAL\0045 (10).jpg,0.0005,0,0,True
REAL\0045 (2).jpg,0.0001,0,0,True
REAL\0045 (3).jpg,0.0027,0,0,True
REAL\0045 (4).jpg,0.0007,0,0,True
REAL\0045 (5).jpg,0.0003,0,0,True
REAL\0045 (6).jpg,0.0007,0,0,True
REAL\0045 (7).jpg,0.0055,0,0,True
REAL\0045 (8).jpg,0.0002,0,0,True
REAL\0045 (9).jpg,0.6777,0,1,False
REAL\0045.jpg,0.6211,0,1,False
REAL\0046 (10).jpg,0.0146,0,0,True
REAL\0046 (2).jpg,0.0002,0,0,True
REAL\0046 (3).jpg,0.0005,0,0,True
REAL\0046 (4).jpg,0.0004,0,0,True
REAL\0046 (5).jpg,0.0669,0,0,True
REAL\0046 (6).jpg,0.0014,0,0,True
REAL\0046 (7).jpg,0.0887,0,0,True
REAL\0046 (8).jpg,0.0001,0,0,True
REAL\0046 (9).jpg,0.0002,0,0,True
REAL\0046.jpg,0.0001,0,0,True
REAL\0047 (10).jpg,0.0004,0,0,True
REAL\0047 (2).jpg,0.0,0,0,True
REAL\0047 (3).jpg,0.0508,0,0,True
REAL\0047 (4).jpg,0.0012,0,0,True
REAL\0047 (5).jpg,0.0369,0,0,True
REAL\0047 (6).jpg,0.0023,0,0,True
REAL\0047 (7).jpg,0.0004,0,0,True
REAL\0047 (8).jpg,0.0026,0,0,True
REAL\0047 (9).jpg,0.0312,0,0,True
REAL\0047.jpg,0.0057,0,0,True
REAL\0048 (10).jpg,0.0027,0,0,True
REAL\0048 (2).jpg,0.0,0,0,True
REAL\0048 (3).jpg,0.0006,0,0,True
REAL\0048 (4).jpg,0.0002,0,0,True
REAL\0048 (5).jpg,0.0019,0,0,True
REAL\0048 (6).jpg,0.0002,0,0,True
REAL\0048 (7).jpg,0.0233,0,0,True
REAL\0048 (8).jpg,0.5517,0,1,False
REAL\0048 (9).jpg,0.0081,0,0,True
REAL\0048.jpg,0.003,0,0,True
REAL\0049 (10).jpg,0.0029,0,0,True
REAL\0049 (2).jpg,0.4584,0,0,True
REAL\0049 (3).jpg,0.0025,0,0,True
REAL\0049 (4).jpg,0.0004,0,0,True
REAL\0049 (5).jpg,0.049,0,0,True
REAL\0049 (6).jpg,0.0009,0,0,True
REAL\0049 (7).jpg,0.0001,0,0,True
REAL\0049 (8).jpg,0.0005,0,0,True
REAL\0049 (9).jpg,0.0023,0,0,True
REAL\0049.jpg,0.0003,0,0,True
FAKE\0 (10).jpg,1.0,1,1,True
FAKE\0 (2).jpg,0.9971,1,1,True
FAKE\0 (3).jpg,1.0,1,1,True
FAKE\0 (4).jpg,1.0,1,1,True
FAKE\0 (5).jpg,1.0,1,1,True
FAKE\0 (6).jpg,1.0,1,1,True
FAKE\0 (7).jpg,1.0,1,1,True
FAKE\0 (8).jpg,1.0,1,1,True
FAKE\0 (9).jpg,0.9995,1,1,True
FAKE\0.jpg,0.9998,1,1,True
FAKE\1 (10).jpg,0.9997,1,1,True
FAKE\1 (2).jpg,1.0,1,1,True
FAKE\1 (3).jpg,0.9976,1,1,True
FAKE\1 (4).jpg,1.0,1,1,True
FAKE\1 (5).jpg,1.0,1,1,True
FAKE\1 (6).jpg,1.0,1,1,True
FAKE\1 (7).jpg,1.0,1,1,True
FAKE\1 (8).jpg,0.9998,1,1,True
FAKE\1 (9).jpg,0.9998,1,1,True
FAKE\1.jpg,0.9997,1,1,True
FAKE\10 (10).jpg,1.0,1,1,True
FAKE\10 (2).jpg,1.0,1,1,True
FAKE\10 (3).jpg,1.0,1,1,True
FAKE\10 (4).jpg,1.0,1,1,True
FAKE\10 (5).jpg,1.0,1,1,True
FAKE\10 (6).jpg,0.9976,1,1,True
FAKE\10 (7).jpg,1.0,1,1,True
FAKE\10 (8).jpg,1.0,1,1,True
FAKE\10 (9).jpg,0.9997,1,1,True
FAKE\10.jpg,0.999,1,1,True
FAKE\100 (10).jpg,0.9998,1,1,True
FAKE\100 (2).jpg,0.9996,1,1,True
FAKE\100 (3).jpg,0.9988,1,1,True
FAKE\100 (4).jpg,1.0,1,1,True
FAKE\100 (5).jpg,0.9985,1,1,True
FAKE\100 (6).jpg,0.9999,1,1,True
FAKE\100 (7).jpg,1.0,1,1,True
FAKE\100 (8).jpg,1.0,1,1,True
FAKE\100 (9).jpg,0.9909,1,1,True
FAKE\100.jpg,0.8755,1,1,True
FAKE\101 (10).jpg,0.9999,1,1,True
FAKE\101 (2).jpg,0.9997,1,1,True
FAKE\101 (3).jpg,0.9998,1,1,True
FAKE\101 (4).jpg,1.0,1,1,True
FAKE\101 (5).jpg,1.0,1,1,True
FAKE\101 (6).jpg,0.9999,1,1,True
FAKE\101 (7).jpg,1.0,1,1,True
FAKE\101 (8).jpg,1.0,1,1,True
FAKE\101 (9).jpg,0.9998,1,1,True
FAKE\101.jpg,0.998,1,1,True
FAKE\102 (10).jpg,0.9818,1,1,True
FAKE\102 (2).jpg,0.9986,1,1,True
FAKE\102 (3).jpg,0.9998,1,1,True
FAKE\102 (4).jpg,0.9999,1,1,True
FAKE\102 (5).jpg,1.0,1,1,True
FAKE\102 (6).jpg,0.9994,1,1,True
FAKE\102 (7).jpg,1.0,1,1,True
FAKE\102 (8).jpg,0.9947,1,1,True
FAKE\102 (9).jpg,0.1495,1,0,False
FAKE\102.jpg,1.0,1,1,True
FAKE\103 (10).jpg,0.9987,1,1,True
FAKE\103 (2).jpg,0.9991,1,1,True
FAKE\103 (3).jpg,0.9998,1,1,True
FAKE\103 (4).jpg,1.0,1,1,True
FAKE\103 (5).jpg,1.0,1,1,True
FAKE\103 (6).jpg,0.9999,1,1,True
FAKE\103 (7).jpg,1.0,1,1,True
FAKE\103 (8).jpg,0.9998,1,1,True
